"commonname","speciesname"
"Western Shovelnose Ray","Aptychotrema vincentiana"
"Viper Dogfish","Trigonognathus kabeyai"
"Japanese Roughshark","Oxynotus japonicus"
"White Ghost Catshark","Apristurus aphyodes"
"Brown Catshark","Apristurus brunneus"
"Stout Catshark","Apristurus fedorovi"
"Humpback Catshark","Apristurus gibbosus"
"Longfin Catshark","Apristurus herklotsi"
"Shortnose Demon Catshark","Apristurus internatus"
"Broadnose Catshark","Apristurus investigatoris"
"Longnose Catshark","Apristurus kampae"
"Iceland Catshark","Apristurus laurussonii"
"Longhead Catshark","Apristurus longicephalus"
"Flathead Catshark","Apristurus macrorhynchus"
"Broadmouth Catshark","Apristurus macrostomus"
"Smalldorsal Catshark","Apristurus micropterygeus"
"Smallfin Catshark","Apristurus parvipinnis"
"Bulldog Catshark","Apristurus pinguis"
"Flatnose Catshark","Apristurus platyrhynchus"
"Deepwater Catshark","Apristurus profundorum"
"South China Catshark","Apristurus sinensis"
"Spongehead Catshark","Apristurus spongiceps"
"Arabian Catshark","Bythaelurus alcockii"
"Bristly Catshark","Bythaelurus hispidus"
"Spotless Catshark","Bythaelurus immaculatus"
"Combtooth Dogfish","Centroscyllium nigrum"
"Pocket Shark","Mollisquama parini"
"Blackfin Gulper Shark","Centrophorus isodon"
"Rasptooth Dogfish","Etmopterus sheikoi"
"Goblin Shark","Mitsukurina owstoni"
"False Catshark","Pseudotriakis microdon"
"Granular Dogfish","Centroscyllium granulatum"
"Caribbean Roughshark","Oxynotus caribbaeus"
"Sparsetooth Dogfish","Scymnodalatias oligodon"
"Chilean Angelshark","Squatina armata"
"Hoary Catshark","Apristurus canutus"
"Largenose Catshark","Apristurus nasutus"
"Panama Ghost Catshark","Apristurus stenseni"
"Spotback Skate","Atlantoraja castelnaui"
"Slimtail Skate","Bathyraja longicauda"
"Krefft's Blind Numbfish","Benthobatis kreffti"
"Southern Sawtail Catshark","Galeus mincaronei"
"Galápagos Bullhead Shark","Heterodontus quoyi"
"Sharptooth Smoothhound","Mustelus dorsalis"
"Striped Smoothhound","Mustelus fasciatus"
"Blotched Sandskate","Psammobatis bergi"
"Zipper Sandskate","Psammobatis extenta"
"Pacific Guitarfish","Pseudobatos planiceps"
"Chilean Catshark","Schroederichthys chilensis"
"Lizard Catshark","Schroederichthys saurisqualus"
"Slender Catshark","Schroederichthys tenuis"
"Whitesaddled Catshark","Scyliorhinus hesperius"
"Scalloped Bonnethead","Sphyrna corona"
"Longnose Stingray","Hypanus guttatus"
"Parana River Stingray","Potamotrygon schuemacheri"
"Raspy River Stingray","Potamotrygon scobina"
"Brazilian Cownose Ray","Rhinoptera brasiliensis"
"Shorttail Fanskate","Sympterygia brevicaudata"
"Smallnose Fanskate","Sympterygia bonapartii"
"Smalleye Round Ray","Urotrygon microphthalmum"
"Ghost Catshark","Apristurus manis"
"Spotted Legskate","Anacanthobatis marmorata"
"Black Legskate","Indobatis ori"
"Saldanha Catshark","Apristurus saldanha"
"Taillight Shark","Euprotomicroides zantedeschia"
"Broadhead Catshark","Bythaelurus clevai"
"Balloon Shark","Cephaloscyllium sufflans"
"Blackspot Skate","Dipturus campbelli"
"Rattail Skate","Dipturus lanceorostratus"
"Slime Skate","Dipturus pullopunctatus"
"Prownose Skate","Dipturus stenorhynchus"
"African Ribbontail Catshark","Eridacnis sinuans"
"Lined Catshark","Halaelurus lineatus"
"Tiger Catshark","Halaelurus natalensis"
"Whitespotted Bullhead Shark","Heterodontus ramalheira"
"South African Dwarf Skate","Neoraja stehmanni"
"Shorttail Nurse Shark","Pseudoginglymostoma brevicaudatum"
"Munchkin Skate","Rajella caudaspinosa"
"Leopard Skate","Rajella leoparda"
"Smoothback Skate","Rajella ravidula"
"Blackspotted Torpedo","Torpedo fuscomaculata"
"Broadgill Catshark","Apristurus riveri"
"Smallthorn Sandskate","Psammobatis rudis"
"Bignose Fanskate","Sympterygia acuta"
"Filetail Fanskate","Sympterygia lima"
"Thintail Skate","Dipturus leptocaudus"
"Brazilian Skate","Rajella sadowskii"
"Chilean Round Ray","Urobatis marmoratus"
"Chilean Round Ray","Urotrygon chilensis"
"African Sawtail Catshark","Galeus polli"
"Bigthorn Skate","Rajella barnardi"
"Ghost Skate","Rajella dissimilis"
"Thickbody Skate","Amblyraja frerichsi"
"Hooktooth Dogfish","Aculeola nigra"
"Dusky Finless Skate","Gurgesiella furvescens"
"Blackish Skate","Rajella nigerrima"
"Onefin Skate","Gurgesiella dorsalifera"
"Smalleye Catshark","Apristurus microps"
"Brazilian Sharpnose Shark","Rhizoprionodon lalandii"
"Apron Numbfish","Discopyge tschudii"
"Apron Ray","Discopyge tschudii"
"Apron Ray","Discopyge tschudii"
"African Angelshark","Squatina africana"
"Large-eye Stingray","Hypanus marianae"
"Longnose Velvet Dogfish","Centroselachus crepidater"
"Plunket's Shark","Scymnodon plunketi"
"Yellow Shovelnose Stingaree","Trygonoptera galba"
"Eastern Shovelnose Stingaree","Trygonoptera imitata"
"Western Shovelnose Stingaree","Trygonoptera mucosa"
"Striped Stingaree","Trygonoptera ovalis"
"Masked Stingaree","Trygonoptera personata"
"Common Stingaree","Trygonoptera testacea"
"New Ireland Stingaree","Spinilophus armatus"
"Oriental Stingaree","Urolophus aurantiacus"
"Sandyback Stingaree","Urolophus bucculentus"
"Circular Stingaree","Urolophus circularis"
"Banded Stingaree","Urolophus cruciatus"
"Chesterfield Stingaree","Urolophus deforgesi"
"Wide Stingaree","Urolophus expansus"
"Patchwork Stingaree","Urolophus flavomosaicus"
"Spotted Stingaree","Urolophus gigas"
"Java Stingaree","Urolophus javanicus"
