"commonname","speciesname"
"American Pocket Shark","Mollisquama mississippiensis"
"Spadenose Guitarfish","Pseudobatos buthi"
"Smallspotted Catshark","Scyliorhinus canicula"
"Torazame Catshark","Scyliorhinus torazame"
"Hawaiian Spurdog","Squalus hawaiiensis"
"Reticulated Swellshark","Cephaloscyllium fasciatum"
"Laila’s Lanternshark","Etmopterus lailae"
"Marsha's Lanternshark","Etmopterus marshae"
"Papuan Lanternshark","Etmopterus samadiae"
"Lana's Sawshark","Pristiophorus lanae"
"Yang's Longnose Catshark","Apristurus yangi"
"Corrigan's Catshark","Galeus corriganae"
"Indonesian Filetail Catshark","Parmaturus nigripalatum"
"Painted Swellshark","Cephaloscyllium pictum"
"Steven's Swellshark","Cephaloscyllium stevensi"
"Sulu Gollum Shark","Gollum suluensis"
"Eastern Dwarf False Catshark","Planonasus indicus"
"Ridgeback Skate","Dipturus amphispinus"
"Papuan Velvet Skate","Notoraja sereti"
"Andaman Legskate","Sinobatis andamanensis"
"Shorttail Legskate","Sinobatis brevicauda"
"Kotlyar's Legskate","Sinobatis kotlyari"
"Longfin Gulper Shark","Centrophorus longipinnis"
"African Gulper Shark","Centrophorus lesliei"
"Gulper Shark","Centrophorus granulosus"
"Taiwan Spurdog","Squalus formosus"
"Longnose Spurdog","Squalus blainville"
"Shortfin Smooth Lanternshark","Etmopterus joungi"
"Formosa Swellshark","Cephaloscyllium formosanum"
"Japanese Swellshark","Cephaloscyllium umbratile"
"New Spadenose Shark","Scoliodon macrorhynchos"
"Spadenose Shark","Scoliodon laticaudus"
"Hyuga Fanray","Platyrhina hyugaensis"
"Yellow-spotted Fanray","Platyrhina tangi"
"Chinese Fanray","Platyrhina sinensis"
"Polkadot Skate","Dipturus chinensis"
"Borneo Legskate","Sinobatis borneensis"
"Longhead Eagle Ray","Aetobatus flagellum"
"Ganges Shark","Glyphis gangeticus"
"Borneo Broadfin Shark","Lamiopsis tephrodes"
"Broadfin Shark","Lamiopsis temminckii"
"Ambon Catshark","Akheilos suwartanai"
"Warren's Sixgill Sawshark","Pliotrema warreni"
"Kaja's Sixgill Sawshark","Pliotrema kajae"
"Anna's Sixgill Sawshark","Pliotrema annae"
"Magnificent Catshark","Proscyllium magnificum"
"Spotted-belly Catshark","Atelomycterus erdmanni"
"Indonesian Houndshark","Hemitriakis indroyonoi"
"Halmahera Epaulette Shark","Hemiscyllium halmahera"
"Indonesian Wobbegong","Orectolobus leptolineatus"
"Borneo Sand Skate","Okamejei cairae"
"Papuan Guitarfish","Rhinobatos manai"
"Ranong Guitarfish","Rhinobatos ranongensis"
NA,"Narcine baliensis"
"Indian Fanray","Platyrhina psomadakisi"
"Warrah Skate","Dipturus lamillai"
"Seret's Butterfly Ray","Gymnura sereti"
"Lutz's Stingray","Hypanus berthalutzae"
"Southern Stingray","Hypanus americanus"
"Heins’ Stingray","Hemitrygon yemenensis"
"Taiwan Sleeper Shark","Somniosus cheni"
"Maculate Panray","Zanobatus maculatus"
"Shortfin Sandskate","Psammobatis normani"
"African Brown Skate","Raja parva"
"Branco River Freshwater Stingray","Potamotrygon adamastor"
"Upper Amazon Raspy Freshwater Stingray","Potamotrygon amazona"
"Madeira Freshwater Stingray","Potamotrygon limai"
"Elaine’s Skate","Leucoraja elaineae"
"Boretz's Dogfish","Squalus boretzi"
"Simushir Skate","Arctoraja sexoculata"
"Mumburarr Whipray","Urogymnus acanthobothrium"
"Coach Whipray","Himantura uarnak"
"Chilean Torpedo","Tetronarce tremens"
"Japanese Sleeper Ray","Narke japonica"
"Common Blue Skate","Dipturus batis"
"Barrie’s Lanternshark","Etmopterus brosei"
"Andaman Smoothhound","Mustelus andamanensis"
"Western Blue Skate","Notoraja hesperindica"
"Dark-mouth Skate","Bathyraja arctowskii"
"Stubby Chimaera","Chimaera compacta"
"Bangladeshi Guitarfish","Glaucostegus younholeei"
